owner_kind	owner_id	class_count
clojure-namespace	datomic.cli	17
clojure-namespace	datomic.client_server.auth	10
clojure-namespace	datomic.client_server.marshaling	9
clojure-namespace	datomic.client_server.spi_support	17
clojure-namespace	datomic.cloudformation	45
clojure-namespace	datomic.cloudwatch	33
clojure-namespace	datomic.cluster	88
clojure-namespace	datomic.cluster_stack	50
clojure-namespace	datomic.clusterfs	37
clojure-namespace	datomic.codec	8
clojure-namespace	datomic.combined_cluster	7
clojure-namespace	datomic.common	101
clojure-namespace	datomic.config	76
clojure-namespace	datomic.config_ext	3
clojure-namespace	datomic.connector	85
clojure-namespace	datomic.coordination	27
clojure-namespace	datomic.coordination_ext	15
clojure-namespace	datomic.crypto	31
clojure-namespace	datomic.data	3
clojure-namespace	datomic.datafy	77
clojure-namespace	datomic.datalog	218
clojure-namespace	datomic.db	579
clojure-namespace	datomic.db.specs	9
clojure-namespace	datomic.db_io	12
clojure-namespace	datomic.ddb	69
clojure-namespace	datomic.ddb_cluster	5
clojure-namespace	datomic.ddb_s3_cluster	25
clojure-namespace	datomic.ddb_values	27
clojure-namespace	datomic.domain	32
clojure-namespace	datomic.ec2	58
clojure-namespace	datomic.error	30
clojure-namespace	datomic.excise	44
clojure-namespace	datomic.extension_resolver	23
clojure-namespace	datomic.extensions	22
clojure-namespace	datomic.external_sort	41
clojure-namespace	datomic.external_sort_datoms	10
clojure-namespace	datomic.fressian	39
clojure-namespace	datomic.fsbackup	17
clojure-namespace	datomic.fulltext	58
clojure-namespace	datomic.fulltext_index	15
clojure-namespace	datomic.function	24
clojure-namespace	datomic.future	28
clojure-namespace	datomic.garbage	54
clojure-namespace	datomic.garbage.fressian	24
clojure-namespace	datomic.garbage.pod	12
clojure-namespace	datomic.h2	20
clojure-namespace	datomic.iam	100
clojure-namespace	datomic.index	248
clojure-namespace	datomic.indexer	51
clojure-namespace	datomic.integrity	189
clojure-namespace	datomic.io	62
clojure-namespace	datomic.iter	42
clojure-namespace	datomic.janino	4
clojure-namespace	datomic.jar	9
clojure-namespace	datomic.jetty	12
clojure-namespace	datomic.kv_cache	9
clojure-namespace	datomic.kv_cassandra	9
clojure-namespace	datomic.kv_cassandra2	9
clojure-namespace	datomic.kv_cassandra3	9
clojure-namespace	datomic.kv_cluster	58
clojure-namespace	datomic.kv_dynamo	13
clojure-namespace	datomic.kv_dynamo_skv	9
clojure-namespace	datomic.kv_hotrod	11
clojure-namespace	datomic.kv_mem	8
clojure-namespace	datomic.kv_sql	10
clojure-namespace	datomic.kv_sql_ext	16
clojure-namespace	datomic.kv_store	24
clojure-namespace	datomic.launcher	8
clojure-namespace	datomic.lifecycle	10
clojure-namespace	datomic.lifecycle_ext	6
clojure-namespace	datomic.log	231
clojure-namespace	datomic.log.specs	4
clojure-namespace	datomic.log_gc	8
clojure-namespace	datomic.logrotate	17
clojure-namespace	datomic.lucene	41
clojure-namespace	datomic.math	14
clojure-namespace	datomic.memcached	44
clojure-namespace	datomic.memory	9
clojure-namespace	datomic.memory_size	42
clojure-namespace	datomic.monitor	30
clojure-namespace	datomic.peer	127
clojure-namespace	datomic.peer_client	52
clojure-namespace	datomic.peer_server	39
