namespace	init_entry	init_sha256	status	match_count	owner_jars	owner_jar_sha256s	source_entries	source_sha256s
clojure.tools.analyzer.passes	clojure/tools/analyzer/passes__init.class	5c91d887d45d60ec1c5f2d3e00cce830244aa28aa2d7072c782a6b5e5564c414	single-exact-path	1	lib/tools.analyzer-1.1.1.jar	eba167fca1179fb156a8e38bdc2e9d49dff491e5150965b54839b952fceed060	clojure/tools/analyzer/passes.clj	13a4832be8b73f5e1886e5c00a45971fe06ef8f4fb52d7f07b49f4047ff611cd
clojure.tools.analyzer.passes.add_binding_atom	clojure/tools/analyzer/passes/add_binding_atom__init.class	0152c01123a7c8a5b4f6c43ca97e3313893fb4e0babff3ea088340d8b44f6b2a	single-exact-path	1	lib/tools.analyzer-1.1.1.jar	eba167fca1179fb156a8e38bdc2e9d49dff491e5150965b54839b952fceed060	clojure/tools/analyzer/passes/add_binding_atom.clj	6d97ead2cf4a0fd350b038b6bc6f65cc2f3ac924723473329d5a2b7543ae5d12
clojure.tools.analyzer.passes.cleanup	clojure/tools/analyzer/passes/cleanup__init.class	abf3a62b804a46023838b6c8176c56d0ba9effa8ad8573bc3b932cc434411755	single-exact-path	1	lib/tools.analyzer-1.1.1.jar	eba167fca1179fb156a8e38bdc2e9d49dff491e5150965b54839b952fceed060	clojure/tools/analyzer/passes/cleanup.clj	2e3be28f944811fe1f457265252356ad07bb3800ca6eb0418685b6f73f9619db
clojure.tools.analyzer.passes.constant_lifter	clojure/tools/analyzer/passes/constant_lifter__init.class	1beea66cd7c1143d03d4b25fc1973c367bfb2bb78f14c57a67727b97e7fb537d	single-exact-path	1	lib/tools.analyzer-1.1.1.jar	eba167fca1179fb156a8e38bdc2e9d49dff491e5150965b54839b952fceed060	clojure/tools/analyzer/passes/constant_lifter.clj	0f2fc6a4303c739c4fbfc9862a736a0f88c076a0539245fd1202f32f53491d4a
clojure.tools.analyzer.passes.elide_meta	clojure/tools/analyzer/passes/elide_meta__init.class	66345b1c468cd54abf677d442b488933559558224073893f0f15fed148b93c24	single-exact-path	1	lib/tools.analyzer-1.1.1.jar	eba167fca1179fb156a8e38bdc2e9d49dff491e5150965b54839b952fceed060	clojure/tools/analyzer/passes/elide_meta.clj	1ea7fedc6e191be604a1a309375722598a1ab9c2482c848208585acef5004a06
clojure.tools.analyzer.passes.emit_form	clojure/tools/analyzer/passes/emit_form__init.class	c8a8751104a10ed5e2c85a9498a6b20f6609ecee90a2faa78f774b8850038c8a	single-exact-path	1	lib/tools.analyzer-1.1.1.jar	eba167fca1179fb156a8e38bdc2e9d49dff491e5150965b54839b952fceed060	clojure/tools/analyzer/passes/emit_form.clj	e8bd098ca5e9b2379fb626208398eb6e5cea37a4582479dfc16a286eb243b09d
clojure.tools.analyzer.passes.jvm.analyze_host_expr	clojure/tools/analyzer/passes/jvm/analyze_host_expr__init.class	9f6fbf747b0791c065e43897af28a64426710bf4f87ed536cd790745bd3c651f	single-exact-path	1	lib/tools.analyzer.jvm-1.2.3.jar	86332ef629ede50e1ad910dfb835e4cf3427073cfab2907e52b9ab2fb2f61416	clojure/tools/analyzer/passes/jvm/analyze_host_expr.clj	be6de3d3e3c58e5fd50e6623c795b7217e1f5eb07a89e8be3069f6a46a198b8a
clojure.tools.analyzer.passes.jvm.annotate_host_info	clojure/tools/analyzer/passes/jvm/annotate_host_info__init.class	d61e54a1dec39ef377ec47d0ab3cd2f11a04f9a254d0aeae01426bd7782a9ceb	single-exact-path	1	lib/tools.analyzer.jvm-1.2.3.jar	86332ef629ede50e1ad910dfb835e4cf3427073cfab2907e52b9ab2fb2f61416	clojure/tools/analyzer/passes/jvm/annotate_host_info.clj	27bf473361d06d794d7d94da30e28b9694c113fef4400bc191c93d2347376ce3
clojure.tools.analyzer.passes.jvm.annotate_loops	clojure/tools/analyzer/passes/jvm/annotate_loops__init.class	f6120afad3409fcb70f71e992263bdf35237a37408dd906e721537b65ee8206a	single-exact-path	1	lib/tools.analyzer.jvm-1.2.3.jar	86332ef629ede50e1ad910dfb835e4cf3427073cfab2907e52b9ab2fb2f61416	clojure/tools/analyzer/passes/jvm/annotate_loops.clj	728ad2e2e05a22414486207e6cbb2d68cb5fa4fcac40f10f57dccf8e5094037d
clojure.tools.analyzer.passes.jvm.annotate_tag	clojure/tools/analyzer/passes/jvm/annotate_tag__init.class	617ae62424973cdf24d81b9876f860fcb5ced2de034fb0167ee7d58dab3ff1ec	single-exact-path	1	lib/tools.analyzer.jvm-1.2.3.jar	86332ef629ede50e1ad910dfb835e4cf3427073cfab2907e52b9ab2fb2f61416	clojure/tools/analyzer/passes/jvm/annotate_tag.clj	2f2ee23efb8f853f4f8f857d71fa9f33a0d2d2e3e0049e11ae3a6560f9103824
