keyword	total	namespaces
:as	1459	datomic.adopter:2,datomic.aggregation:2,datomic.api:6,datomic.artemis-client:16,datomic.assert:2,datomic.async:2,datomic.aws:2,datomic.aws-detect:6,datomic.aws-monitor:10,datomic.backup:50,datomic.btset:2,datomic.builtins:8,datomic.cache:14,datomic.cache.caffeine:6,datomic.callback:6,datomic.cassandra:6,datomic.cassandra-v4:6,datomic.cassandra-values:12,datomic.cassandra-values-v4:12,datomic.cast2slf4j:8,datomic.catalog:10,datomic.cleanup:4,datomic.cli:10,datomic.cloudwatch:6,datomic.cluster:10,datomic.cluster-stack:24,datomic.clusterfs:14,datomic.combined-cluster:2,datomic.common:12,datomic.config:10,datomic.config-ext:2,datomic.connector:29,datomic.coordination:26,datomic.coordination-ext:10,datomic.core2.anomalies:2,datomic.core2.async:4,datomic.core2.atom:4,datomic.core2.atom.logged:11,datomic.core2.aws.s3.aws-api:6,datomic.core2.aws.s3.sdkv1:4,datomic.core2.log:4,datomic.core2.log.ddb:14,datomic.core2.log.mem:6,datomic.core2.log.spi:4,datomic.core2.thread:4,datomic.core2.val-store:2,datomic.core2.val-store.double-store:8,datomic.core2.val-store.fs:14,datomic.core2.val-store.s3:10,datomic.core2.val-store.s3.aws-api:14,datomic.core2.val-store.s3.sdkv1:10,datomic.core2.val-store.spi:4,datomic.crypto:6,datomic.datafy:6,datomic.datalog:24,datomic.db:36,datomic.db-io:14,datomic.ddb:8,datomic.ddb-cluster:18,datomic.ddb-s3-cluster:48,datomic.ddb-values:12,datomic.domain:34,datomic.error:4,datomic.excise:8,datomic.extension-resolver:6,datomic.extensions:4,datomic.external-sort:8,datomic.external-sort-datoms:8,datomic.fressian:18,datomic.fulltext:22,datomic.fulltext-index:6,datomic.function:7,datomic.future:6,datomic.garbage:36,datomic.garbage.fressian:2,datomic.garbage.pod:14,datomic.h2:6,datomic.index:48,datomic.integrity:60,datomic.io:6,datomic.iter:2,datomic.kv-cache:10,datomic.kv-cassandra:16,datomic.kv-cassandra2:10,datomic.kv-cassandra3:6,datomic.kv-cluster:22,datomic.kv-dynamo:8,datomic.kv-dynamo-skv:10,datomic.kv-hotrod:4,datomic.kv-mem:2,datomic.kv-sql:12,datomic.kv-sql-ext:14,datomic.log:34,datomic.lucene:3,datomic.memcached:18,datomic.memory:8,datomic.monitor:4,datomic.peer:64,datomic.process:6,datomic.process-monitor:16,datomic.pull:18,datomic.qtune:12,datomic.query:30,datomic.query.support:2,datomic.reconnector2:4,datomic.s3:10,datomic.s3-api:4,datomic.s3-kv:6,datomic.simple-kv:2,datomic.slf4j:8,datomic.sql:4,datomic.stats:12,datomic.tools:46,datomic.tools.index-checks:6,datomic.transaction:18,datomic.treewalk:4,datomic.uri:8,datomic.val-cluster:12,datomic.valcache:5,datomic.valcache-direct:22,datomic.valcache.puts-pool-impl:8,datomic.validators:2
:as-of-t	8	datomic.index:8
:as-uri	4	datomic.io:4
:asOfT	3	datomic.db:3
:asserting	5	datomic.db:3,datomic.fulltext:2
:assertions	2	datomic.integrity:2
:async-shutdown	5	datomic.artemis-client:5
:atime	4	datomic.valcache:4
:atom	13	datomic.cloudwatch:2,datomic.datafy:8,datomic.datalog:1,datomic.ddb:2
:attempts	2	datomic.common:1,datomic.kv-cluster:1
