caller_namespace	target_kind	target	references	call_owner_references	field_owner_references	type_references	distinct_owners	owners
datomic.artemis-client	primary-namespace	datomic.artemis-client	200	95	4	101	91	datomic/artemis_client$create_connector,datomic/artemis_client$create_consumer,datomic/artemis_client$create_deserializer,datomic/artemis_client$create_deserializer$fn__20863,datomic/artemis_client$create_fressian_message,datomic/artemis_client$create_message,datomic/artemis_client$create_producer,datomic/artemis_client$create_rpc_client,datomic/artemis_client$create_rpc_client$fn__20882,datomic/artemis_client$create_rpc_client$fn__20882$fn__20883,datomic/artemis_client$create_rpc_client$fn__20886,datomic/artemis_client$create_rpc_client$fn__20886$fn__20887,datomic/artemis_client$create_rpc_client$fn__20890,datomic/artemis_client$create_rpc_client$fn__20890$fn__20891,datomic/artemis_client$create_rpc_client$fn__20894,datomic/artemis_client$create_rpc_client$fn__20894$fn__20895,datomic/artemis_client$create_rpc_client$fn__20898,datomic/artemis_client$create_rpc_client$fn__20902,datomic/artemis_client$create_rpc_client$fn__20904,datomic/artemis_client$create_rpc_client$fn__20906,datomic/artemis_client$create_rpc_client$fn__20908,datomic/artemis_client$create_rpc_server,datomic/artemis_client$create_rpc_server$fn__20923,datomic/artemis_client$create_rpc_server$fn__20923$fn__20924,datomic/artemis_client$create_rpc_server$fn__20927,datomic/artemis_client$create_rpc_server$fn__20927$fn__20928,datomic/artemis_client$create_rpc_server$fn__20931,datomic/artemis_client$create_rpc_server$fn__20931$fn__20932,datomic/artemis_client$create_rpc_server$fn__20935,datomic/artemis_client$create_rpc_server$fn__20935$fn__20936,datomic/artemis_client$create_rpc_server$fn__20939,datomic/artemis_client$create_rpc_server$fn__20939$fn__20940,datomic/artemis_client$create_rpc_server$fn__20943,datomic/artemis_client$create_rpc_server$fn__20943$fn__20945,datomic/artemis_client$create_rpc_server$fn__20949,datomic/artemis_client$create_rpc_server$fn__20951,datomic/artemis_client$create_rpc_server$fn__20953,datomic/artemis_client$create_rpc_server$fn__20955,datomic/artemis_client$create_rpc_server$fn__20957,datomic/artemis_client$create_serializer,datomic/artemis_client$create_serializer$fn__20860,datomic/artemis_client$create_server_locator,datomic/artemis_client$create_session_factory,datomic/artemis_client$create_session_factory$fn__20818,datomic/artemis_client$create_session_factory$fn__20818$fn__20819,datomic/artemis_client$create_session_factory$fn__20822,datomic/artemis_client$create_session_factory$fn__20822$fn__20823,datomic/artemis_client$create_session_factory$fn__20826,datomic/artemis_client$create_session_factory$fn__20828,datomic/artemis_client$create_temporary_queue,datomic/artemis_client$create_transport,datomic/artemis_client$create_transport$fn__20773,datomic/artemis_client$delete_queue,datomic/artemis_client$fn__20770,datomic/artemis_client$fn__20782,datomic/artemis_client$fn__20785,datomic/artemis_client$fn__20785$G__20780__20794,datomic/artemis_client$fn__20785$G__20781__20789,datomic/artemis_client$fn__20805,datomic/artemis_client$fn__20805$__GT_SessionFactoryBundle__20811,datomic/artemis_client$fn__20831,datomic/artemis_client$fn__20833,datomic/artemis_client$fn__20835,datomic/artemis_client$fn__20837,datomic/artemis_client$fn__20839,datomic/artemis_client$fn__20847,datomic/artemis_client$fn__20870,datomic/artemis_client$fn__20870$__GT_RpcClient__20874,datomic/artemis_client$fn__20911,datomic/artemis_client$fn__20911$__GT_RpcServer__20915,datomic/artemis_client$fressian_producer,datomic/artemis_client$fressian_producer$reify__20867,datomic/artemis_client$input_stream,datomic/artemis_client$loading__6434__auto____20768,datomic/artemis_client$output_stream,datomic/artemis_client$output_stream$fn__20854,datomic/artemis_client$read_batch,datomic/artemis_client$rpc_request,datomic/artemis_client$set_handler,datomic/artemis_client$set_handler$reify__20850,datomic/artemis_client$start_session,datomic/artemis_client$wrap_as_failure_listener,datomic/artemis_client$wrap_as_failure_listener$reify__20801,datomic/artemis_client/HornetImpl,datomic/artemis_client/RpcClient,datomic/artemis_client/RpcClient$fn__20871,datomic/artemis_client/RpcServer,datomic/artemis_client/RpcServer$fn__20912,datomic/artemis_client/SessionFactoryBundle,datomic/artemis_client/SessionFactoryBundle$fn__20808,datomic/artemis_client/proxy$java/io/OutputStream$ff19274a
datomic.artemis-client	primary-namespace	datomic.common	9	2	0	7	1	datomic/common/AsyncShutdown
datomic.artemis-client	primary-namespace	datomic.queue	1	0	0	1	1	datomic/queue/BlockingProducer
datomic.assert	companion-jar	clojure-1.11.4.jar	842	296	1	545	16	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/IFn,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/Keyword,clojure/lang/LockingTransaction,clojure/lang/Numbers,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Var
datomic.assert	jdk	java.lang	598	10	5	583	9	java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Integer,java/lang/Long,java/lang/Number,java/lang/Object,java/lang/String,java/lang/Throwable
datomic.assert	jdk	java.util	11	3	0	8	3	java/util/Arrays,java/util/List,java/util/concurrent/Callable
datomic.assert	primary-namespace	datomic.assert	18	9	0	9	9	datomic/assert$assert,datomic/assert$assertion_repl,datomic/assert$assertion_repl$fn__20656,datomic/assert$assertion_repl$prompt__20654,datomic/assert$assertion_repl$stashing_eval__20652,datomic/assert$fn__20647,datomic/assert$loading__6434__auto____20645,datomic/assert$local_bindings,datomic/assert$local_bindings$fn__20649
datomic.async	companion-jar	clojure-1.11.4.jar	427	141	3	283	19	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/IFn,clojure/lang/IObj,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/IType,clojure/lang/Keyword,clojure/lang/LockingTransaction,clojure/lang/Namespace,clojure/lang/PersistentArrayMap,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Var
datomic.async	companion-jar	slf4j-api-1.7.32.jar	18	9	0	9	2	org/slf4j/Logger,org/slf4j/LoggerFactory
datomic.async	jdk	java.lang	337	15	2	320	9	java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Integer,java/lang/Long,java/lang/Object,java/lang/Runnable,java/lang/String,java/lang/Thread
datomic.async	jdk	java.util	14	3	0	11	5	java/util/Arrays,java/util/List,java/util/concurrent/Callable,java/util/concurrent/RejectedExecutionHandler,java/util/concurrent/ThreadPoolExecutor
datomic.async	primary-namespace	datomic.async	18	9	0	9	8	datomic/async$daemon,datomic/async$daemon$fn__9434,datomic/async$discard_policy,datomic/async$fn__9431,datomic/async$fn__9437,datomic/async$fn__9437$__GT_DiscardPolicy__9439,datomic/async$loading__6434__auto____9429,datomic/async/DiscardPolicy
datomic.aws	companion-jar	aws-java-sdk-core-1.12.564.jar	103	45	0	58	11	com/amazonaws/AmazonWebServiceClient,com/amazonaws/ClientConfiguration,com/amazonaws/DnsResolver,com/amazonaws/Protocol,com/amazonaws/auth/AWSCredentials,com/amazonaws/auth/AWSCredentialsProviderChain,com/amazonaws/auth/BasicAWSCredentials,com/amazonaws/auth/DefaultAWSCredentialsProviderChain,com/amazonaws/http/TlsKeyManagersProvider,com/amazonaws/retry/RetryMode,com/amazonaws/retry/RetryPolicy
datomic.aws	companion-jar	clojure-1.11.4.jar	3833	1407	6	2420	26	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/IFn,clojure/lang/ILookupSite,clojure/lang/ILookupThunk,clojure/lang/IObj,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/ISeq,clojure/lang/Keyword,clojure/lang/KeywordLookupSite,clojure/lang/LockingTransaction,clojure/lang/MultiFn,clojure/lang/Namespace,clojure/lang/PersistentHashMap,clojure/lang/PersistentHashSet,clojure/lang/PersistentList,clojure/lang/PersistentVector,clojure/lang/RT,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Util,clojure/lang/Var
datomic.aws	jdk	java.io	2	1	0	1	1	java/io/StringWriter
datomic.aws	jdk	java.lang	3013	24	59	2930	10	java/lang/AssertionError,java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Integer,java/lang/Long,java/lang/Number,java/lang/Object,java/lang/String,java/lang/Throwable
datomic.aws	jdk	java.net	2	0	0	2	1	java/net/InetAddress
datomic.aws	jdk	java.security	2	0	0	2	1	java/security/SecureRandom
datomic.aws	jdk	java.util	37	11	0	26	3	java/util/Arrays,java/util/List,java/util/concurrent/Callable
datomic.aws	primary-namespace	datomic.aws	28	14	0	14	14	datomic/aws$aws_access_key_id_QMARK_,datomic/aws$aws_secret_key_QMARK_,datomic/aws$client_config,datomic/aws$credentials,datomic/aws$credentials_QMARK_,datomic/aws$defclient,datomic/aws$defclient$fn__17395,datomic/aws$defclient$fn__17395$fn__17396,datomic/aws$endpoint_for,datomic/aws$fn__17376,datomic/aws$fn__17391,datomic/aws$loading__6434__auto____17374,datomic/aws$newclient,datomic/aws$set_endpoint
datomic.aws-detect	companion-jar	clojure-1.11.4.jar	357	123	1	233	18	clojure/java/io/Coercions,clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/Delay,clojure/lang/IFn,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/Keyword,clojure/lang/LockingTransaction,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Util,clojure/lang/Var
datomic.aws-detect	jdk	java.io	1	0	0	1	1	java/io/InputStream
datomic.aws-detect	jdk	java.lang	259	10	3	246	9	java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Integer,java/lang/Long,java/lang/Number,java/lang/Object,java/lang/String,java/lang/Throwable
datomic.aws-detect	jdk	java.net	9	4	0	5	2	java/net/URL,java/net/URLConnection
datomic.aws-detect	jdk	java.util	14	4	0	10	3	java/util/Arrays,java/util/List,java/util/concurrent/Callable
datomic.aws-detect	primary-namespace	datomic.aws-detect	14	7	0	7	7	datomic/aws_detect$fn__20963,datomic/aws_detect$fn__20969,datomic/aws_detect$get_ec2_private_ip,datomic/aws_detect$get_ec2_public_ip,datomic/aws_detect$loading__6434__auto____20961,datomic/aws_detect$quickstream,datomic/aws_detect$running_in_ec2_QMARK_
